CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ELEVATION (MIN.),ELEVATION (MAX.),ROCK NAME,ROCK TEXTURE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),ALTERATION,MINERAL,SPOT,CRYSTAL,RIM/CORE (MINERAL GRAINS),GRAIN SIZE,PRIMARY/SECONDARY,SIO2(WT%),TIO2(WT%),ZRO2(WT%),AL2O3(WT%),CR2O3(WT%),SC2O3(WT%),V2O3(WT%),V2O5(WT%),NB2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),FET(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),COO(WT%),K2O(WT%),NA2O(WT%),LI2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),F(WT%),CL(WT%),SO2(WT%),SO3(WT%),LOI(WT%),O(WT%),TI(WT%),FE(WT%),MG(WT%),MN(WT%),CA(WT%),K(WT%),NA(WT%),CR(WT%),HE(CCMSTP/G),HE(MOL/G),HE3(CCMSTP/G),HE3(MOL/G),HE4(CCMSTP/G),HE4(MOL/G),LI(PPM),LI6(PPM),LI7(PPM),BE(PPM),BE9(PPM),BE10(AT/G),B(PPM),B11(PPM),F(PPM),NE(CCMSTP/G),NEPHELINE(MOL%),NE20(CCMSTP/G),NE20(MOL/G),NE21(CCMSTP/G),NE21(MOL/G),NE22(CCMSTP/G),NE22(MOL/G),NA(PPM),MG(PPM),MG26(PPM),AL(PPM),AL27(PPM),SI(PPM),SI30(PPM),P(PPM),S(PPM),CL(PPM),AR(CCMSTP/G),AR36(CCMSTP/G),AR36(MOL/G),AR40(CCMSTP/G),AR40(MOL/G),K(PPM),K39(PPM),CA(PPM),CA40(PPM),CA42(PPM),CA43(PPM),CA44(PPM),SC(PPM),SC45(PPM),TI(PPM),TI49(PPM),V(PPM),V51(PPM),CR(PPM),CR53(PPM),MN(PPM),FE(PPM),FE57(PPM),CO(PPM),CO59(PPM),NI(PPM),NI60(PPM),CU(PPM),ZN(PPM),ZN66(PPM),GA(PPM),GE(PPM),GE73(PPM),GE74(PPM),AS(PPM),AS(PPB),SE(PPM),BR(PPB),KR84(CCMSTP/G),RB(PPM),RB(PPB),RB85(PPM),SR(PPM),SR(PPB),SR86(PPM),SR88(PPM),Y(PPM),Y(PPB),Y89(PPM),ZR(PPM),ZR(PPB),ZR90(PPM),NB(PPM),NB93(PPM),NB(PPB),MO(PPM),RU(PPB),RH(PPB),PD(PPB),AG(PPM),CD(PPM),CD(PPB),IN(PPM),IN(PPB),SN(PPM),SN(PPB),SB(PPM),TE(PPM),I(PPB),XE130(CCMSTP/G),XE132(CCMSTP/G),CS(PPM),CS133(PPM),BA(PPM),BA(PPB),BA137(PPM),LA(PPM),LA(PPB),LA139(PPM),CE(PPM),CE(PPB),CE140(PPM),PR(PPM),PR(PPB),PR141(PPM),ND(PPM),ND(PPB),ND146(PPM),SM(PPM),SM(PPB),SM147(PPM),EU(PPM),EU(PPB),EU153(PPM),GD(PPM),GD(PPB),GD157(PPM),TB(PPM),TB(PPB),TB159(PPM),DY(PPM),DY163(PPM),DY(PPB),HO(PPM),HO165(PPM),HO(PPB),ER(PPM),ER166(PPM),ER(PPB),TM(PPM),TM(PPB),TM169(PPM),YB(PPM),YB(PPB),YB172(PPM),LU(PPM),LU175(PPM),LU(PPB),HF(PPM),HF(PPB),HF178(PPM),TA(PPM),TA(PPB),TA181(PPM),W(PPM),RE(PPB),RE(PPT),OS(PPB),OS(PPT),IR(PPB),PT(PPB),AU(PPM),HG(PPM),TL(PPM),PB(PPM),PB(PPB),PB206(PPM),PB207(PPM),PB208(PPM),BI(PPM),RA226(PPQ),RA226_ACT(DPM/G),TH(PPM),TH(PPB),TH230_ACT(DPM/G),TH232(PPM),U(PPM),U(PPB),U238(PPM),H2O(PPM),OH(PPM),ND143_ND144,EPSILON_ND,EPSILON_ND_INI,SM147_ND144,SR87_SR86,SR87_SR86_INI,EPSILON_SR_INI,RB87_SR86,PB206_PB204,PB207_PB204,PB207_PB206,PB208_PB204,PB208_PB206,OS187_OS188,RE187_OS188,HF176_HF177,LU176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE3_AR36,HE4_HE3,HE4_AR40,HE4_NE20,HE4_NE22,BE10_BE9,AR36_AR38,AR38_AR36,AR40_AR36,AR40_AR38,AR40_K40,KR80_KR84,KR82_KR84,KR83_KR84,KR86_KR84,NE20_NE22,NE21_NE22,XE124_XE130,XE126_XE130,XE128_XE130,XE128_XE132,XE129_XE130,XE129_XE132,XE130_XE132,XE131_XE130,XE131_XE132,XE132_XE130,XE134_XE130,XE134_XE132,XE136_XE130,XE136_XE132,RA226_TH230_ACT,TH230_TH232,TH230_TH232_ACT,TH230_U238_ACT,U234_U238_ACT,D234U(PER MIL),U238_PB204,U238_TH230_ACT,U238_TH232_ACT,CO2(CCMSTP/G),CO2(MOL/G),LI7_LI6,D7LI(PER MIL),D7LI(VS LSVEC),D7LI(VS NBS8545),D11B(VS NBS951),D13C(VS VPDB),D18O(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),D25MG(PER MIL),D26MG(PER MIL),D25MG(VS DSM3),D26MG(VS DSM3),D43_40CA(VS SRM915A),D44_40CA(VS SRM915A),D43_42CA(VS SRM915A),D44_42CA(VS SRM915A),D51V(VS AA),D53CR(VS SRM979),D56FE(VS IRMM-014),D57FE(VS IRMM-014),D60NI(VS NBS986),ALBITE(MOL%),ACMITE(MOL%),AEGIRINE(MOL%),DIOPSIDE(MOL%),ENSTATITE(MOL%),FERROAUGITE(MOL%),FERROSILITE(MOL%),JADEITE(MOL%),ORTHOCLASE(MOL%),RHODONITE(MOL%),WOLLASTONITE(MOL%),AGE(MA)
[13935] KOORNNEEF J. M. (2009),samp. AT37,RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / LABAIT,,-4.57,-4.57,35.43,35.43,subaerial,,,"LHERZOLITE, GARNET, XENOLITH",COARSE,,,,ORTHOPYROXENE,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.072,,,1.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51277,,,0.188574,0.70391,,,2.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13935] KOORNNEEF J. M. (2009),samp. AT65,RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / LABAIT,,-4.57,-4.57,35.43,35.43,subaerial,,,"LHERZOLITE, SPINEL, XENOLITH",COARSE,,,,ORTHOPYROXENE,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132,,,2.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512662,,,0.34267,0.704569,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F-1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.11,0.07,,0.64,0.21,,,,,,,5.29,,,0.71,35.5,0.13,,,0.12,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F-2,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.43,0.03,,0.56,0.41,,,,,,,4.29,,,0.65,36.11,0.11,,,0.11,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F-3,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,57.7,0.04,,0.6,0.4,,,,,,,3.91,,,0.6,36.55,0.1,,,0.1,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F-4,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,57.76,0.02,,0.57,0.34,,,,,,,4.92,,,0.68,35.96,0.13,,,0.14,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F-5,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.53,0.01,,0.56,0.3,,,,,,,4.43,,,0.64,36.4,0.11,,,0.12,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F-6,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.27,0.03,,0.6,0.31,,,,,,,5.03,,,0.73,35.82,0.14,,,0.12,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F-7,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.3,0.02,,0.58,0.32,,,,,,,4.16,,,0.47,36.61,0.11,,,0.13,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F-8,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.05,0.07,,0.57,0.33,,,,,,,4.47,,,0.66,36.16,0.12,,,0.12,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F-9,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,57.41,0.07,,0.53,0.5,,,,,,,4.59,,,0.66,36.01,0.13,,,0.11,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F10,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.09,0.05,,0.66,0.29,,,,,,,4.68,,,0.61,35.48,0.11,,,0.12,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F11,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,57.75,0.05,,0.59,0.35,,,,,,,5.11,,,0.73,35.22,0.14,,,0.12,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F12,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,56.88,0.2,,0.61,0.31,,,,,,,4.45,,,0.63,35.71,0.11,,,0.1,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F13,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,57.03,0.09,,0.67,0.19,,,,,,,5.3,,,0.71,35.47,0.13,,,0.13,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F14,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.04,0.02,,0.52,0.29,,,,,,,5.04,,,0.74,35.79,0.13,,,0.13,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F15,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.44,0.02,,0.6,0.28,,,,,,,4.55,,,0.64,35.71,0.12,,,0.11,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F16,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,57.58,0.01,,0.64,0.15,,,,,,,5.05,,,0.66,35.57,0.12,,,0.12,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F22,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,58.03,0.01,,0.54,0.28,,,,,,,4.29,,,0.62,36.18,0.11,,,0.12,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F24,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,57.91,0.01,,0.51,0.3,,,,,,,4.35,,,0.63,36.08,0.11,,,0.11,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13936] LAZAROV M. (2009),samp. F25A,INTRAPLATE VOLCANICS,KAAPVAAL CRATON / SOUTH AFRICA / FINSCH KIMBERLITE,FINSCH MINE,-28.385,-28.385,23.445,23.445,subaerial,,,"PERIDOTITE, GARNET, XENOLITH",,,,,ORTHOPYROXENE,,,,,primary,57.45,0.01,,0.51,0.32,,,,,,,4.91,,,0.68,35.37,0.13,,,0.11,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
